what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1328354239578
executed,command,com.aptana.ruby.debug.ui,3.0.2.1322066031,"com.aptana.ruby.debug.ui.RubyShortcut.run",1328354240500
activated,editor,com.aptana.editor.ruby,3.0.3.1320702265,"com.aptana.editor.ruby",1328354258093
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1328354504843
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1328354509484
opened,editor,com.aptana.editor.ruby,3.0.3.1320702265,"com.aptana.editor.ruby",1328354515406
activated,editor,com.aptana.editor.ruby,3.0.3.1320702265,"com.aptana.editor.ruby",1328354515531
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1328354515562
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.textStart",1328354801156
executed,command,com.aptana.ruby.debug.ui,3.0.2.1322066031,"com.aptana.ruby.debug.ui.RubyShortcut.run",1328354814828
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1328354814843
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1328354815890
executed,command,com.aptana.ruby.debug.ui,3.0.2.1322066031,"com.aptana.ruby.debug.ui.RubyShortcut.run",1328354850203
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1328354850234
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1328354851328
executed,command,com.aptana.ruby.debug.ui,3.0.2.1322066031,"com.aptana.ruby.debug.ui.RubyShortcut.run",1328354865453
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1328354865484
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1328354866203
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1328354886875
activated,view,com.aptana.terminal,3.0.0.1321644809,"com.aptana.terminal.views.terminal",1328354887234
activated,editor,com.aptana.editor.ruby,3.0.3.1320702265,"com.aptana.editor.ruby",1328354888187
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1328354895968
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1328354898484
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1328354907453
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1328354909406
executed,command,com.aptana.ruby.debug.ui,3.0.2.1322066031,"com.aptana.ruby.debug.ui.RubyShortcut.debug",1328354916265
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1328354916296
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1328354917140
error,log,,,"Unable to find 'rdebug-ide' binary script. May need to install 'ruby-debug-ide' gem, or may need to add your gem executable directory to your PATH (check location via 'gem environment').",1328354918359
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1328354918406
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1328354923968
executed,command,com.aptana.ruby.debug.ui,3.0.2.1322066031,"com.aptana.ruby.debug.ui.RubyShortcut.run",1328354931250
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1328355581953
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1328358207515
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1328358213250
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1328369657656
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1328369659593
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1328369660484
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1328369661390
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1328369662203
closed,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1328369664656
stopped,bundle,org.springframework.ide.eclipse.beans.ui.autowire,2.6.0.201103160035-RELEASE,"org.springframework.ide.eclipse.beans.ui.autowire",1328369673859
stopped,bundle,org.springframework.ide.eclipse.beans.core.autowire,2.6.0.201103160035-RELEASE,"org.springframework.ide.eclipse.beans.core.autowire",1328369673921
stopped,bundle,org.springframework.ide.eclipse.beans.ui.refactoring,2.6.0.201103160035-RELEASE,"org.springframework.ide.eclipse.beans.ui.refactoring",1328369673921
stopped,bundle,org.springframework.ide.eclipse.beans.ui.editor,2.6.0.201103160035-RELEASE,"org.springframework.ide.eclipse.beans.ui.editor",1328369674062
stopped,bundle,org.springframework.ide.eclipse.beans.ui.graph,2.6.0.201103160035-RELEASE,"org.springframework.ide.eclipse.beans.ui.graph",1328369674218
stopped,bundle,org.springframework.ide.eclipse.beans.ui.search,2.6.0.201103160035-RELEASE,"org.springframework.ide.eclipse.beans.ui.search",1328369674375
stopped,bundle,org.springframework.ide.eclipse.beans.ui,2.6.0.201103160035-RELEASE,"org.springframework.ide.eclipse.beans.ui",1328369674375
stopped,bundle,org.springframework.ide.eclipse.beans.core.metadata,2.6.0.201103160035-RELEASE,"org.springframework.ide.eclipse.beans.core.metadata",1328369674515
stopped,bundle,org.springframework.ide.eclipse.beans.core,2.6.0.201103160035-RELEASE,"org.springframework.ide.eclipse.beans.core",1328369674515
